"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_9637","","hypothetical protein","69","57","7","96","90.78947368421053","62.745098039215684","16.601503759398497","9.330608067707319e-16","1.0369104745643143e-11","2.0821495473179003e-14","3","2","2","1.0","1.0"
"group_6734","","IS66 family transposase","69","57","7","96","90.78947368421053","62.745098039215684","16.601503759398497","9.330608067707319e-16","1.0369104745643143e-11","2.0821495473179003e-14","3","2","2","1.0","1.0"
"group_6636","ybdN","Uncharacterized protein YbdN","69","57","7","96","90.78947368421053","62.745098039215684","16.601503759398497","9.330608067707319e-16","1.0369104745643143e-11","2.0821495473179003e-14","3","2","2","1.0","1.0"
"group_9631","cusF","CusF","73","70","3","83","96.05263157894737","54.248366013071895","28.85238095238095","1.0271622539168714e-15","1.1414854127778192e-11","2.287545917390419e-14","3","2","2","1.0","1.0"
"group_6355","","HTH luxR-type domain-containing protein","71","63","5","90","93.42105263157895","58.82352941176471","20.285714285714285","1.1029373251709925e-15","1.225694249462524e-11","2.4464955079092294e-14","3","2","2","1.0","1.0"
"insA","insA;","Insertion element iso-IS1N protein InsA;hypothetical protein","71","63","5","90","93.42105263157895","58.82352941176471","20.285714285714285","1.1029373251709925e-15","1.225694249462524e-11","2.4464955079092294e-14","3","2","2","1.0","1.0"
"group_9932","","Serine peptidase;hypothetical protein","52","23","24","130","68.42105263157895","84.9673202614379","12.246376811594203","1.1315806973344497e-15","1.257525628947774e-11","2.5000509521824532e-14","3","1","3","0.25","1.0"
"group_5207","","Phage portal protein","52","23","24","130","68.42105263157895","84.9673202614379","12.246376811594203","1.1315806973344497e-15","1.257525628947774e-11","2.5000509521824532e-14","3","1","3","0.25","1.0"
"group_779","","DNA damage-inducible protein I;hypothetical protein","50","20","26","133","65.78947368421053","86.9281045751634","12.788461538461538","1.408834176915456e-15","1.565637420806146e-11","3.0941451004074034e-14","3","1","3","0.25","1.0"
"group_586","","hypothetical protein;Bacteriophage protein","50","20","26","133","65.78947368421053","86.9281045751634","12.788461538461538","1.408834176915456e-15","1.565637420806146e-11","3.0941451004074034e-14","3","1","3","0.25","1.0"
"group_43","","hypothetical protein","50","20","26","133","65.78947368421053","86.9281045751634","12.788461538461538","1.408834176915456e-15","1.565637420806146e-11","3.0941451004074034e-14","3","1","3","0.25","1.0"
"group_8146","","Cysteine--tRNA ligase","59","35","17","118","77.63157894736842","77.12418300653596","11.700840336134453","1.5763590045183233e-15","1.7518077617212126e-11","3.4552421335724113e-14","3","2","2","1.0","1.0"
"group_6632","rmpA","mucoid phenotype A regulator RmpA","70","60","6","93","92.10526315789474","60.78431372549019","18.083333333333332","1.5845206450518588e-15","1.7608777928461307e-11","3.466294867807344e-14","3","2","2","1.0","1.0"
"group_6561","tnp","IS66 family ISKox1 transposase","72","67","4","86","94.73684210526315","56.209150326797385","23.104477611940297","1.8303379257336865e-15","2.0340545368678456e-11","3.9883422291526386e-14","2","2","1","0.5","1.0"
"group_6258","","Transposase","72","67","4","86","94.73684210526315","56.209150326797385","23.104477611940297","1.8303379257336865e-15","2.0340545368678456e-11","3.9883422291526386e-14","2","2","1","0.5","1.0"
"group_1691","","HNH nuclease domain-containing protein;HNH endonuclease;hypothetical protein","0","68","76","85","0.0","55.55555555555556","0.0","3.0244401988677955e-15","3.361060393001781e-11","6.577417598829318e-14","1","0","1","1.0","1.0"
"group_7206","","Phosphoribosyl-AMP cyclohydrolase","69","59","7","94","90.78947368421053","61.43790849673203","15.704600484261501","3.6486637143311396e-15","4.054759985736195e-11","7.919453097141006e-14","3","2","2","1.0","1.0"
"group_6528","","Mercuric resistance operon regulatory protein","70","62","6","91","92.10526315789474","59.47712418300654","17.123655913978496","5.099810824448042e-15","5.667419769209109e-11","1.1004698580988562e-13","3","2","2","1.0","1.0"
"group_6130","","Lead cadmium zinc and mercury transporting ATPase","70","62","6","91","92.10526315789474","59.47712418300654","17.123655913978496","5.099810824448042e-15","5.667419769209109e-11","1.1004698580988562e-13","3","2","2","1.0","1.0"
"group_2662","","Lipoprotein signal peptidase","70","62","6","91","92.10526315789474","59.47712418300654","17.123655913978496","5.099810824448042e-15","5.667419769209109e-11","1.1004698580988562e-13","3","2","2","1.0","1.0"
"group_7461","","Transposase","72","68","4","85","94.73684210526315","55.55555555555556","22.5","5.130014073037491e-15","5.700984639366563e-11","1.1027049592585229e-13","2","2","1","0.5","1.0"
"group_4834","","hypothetical protein","72","68","4","85","94.73684210526315","55.55555555555556","22.5","5.130014073037491e-15","5.700984639366563e-11","1.1027049592585229e-13","3","1","3","0.25","1.0"
"group_9654","","RES domain-containing protein;hypothetical protein","72","69","4","84","94.73684210526315","54.90196078431373","21.91304347826087","6.028836140171358e-15","6.69984560257243e-11","1.2934064869830946e-13","3","2","2","1.0","1.0"
"group_6633","pagO","Protein PagO","70","63","6","90","92.10526315789474","58.82352941176471","16.666666666666668","7.60877076089637e-15","8.455626946584137e-11","1.626082105112334e-13","3","2","2","1.0","1.0"
"group_6438","","hypothetical protein","70","63","6","90","92.10526315789474","58.82352941176471","16.666666666666668","7.60877076089637e-15","8.455626946584137e-11","1.626082105112334e-13","3","2","2","1.0","1.0"
"group_369","","Lysis protein S;Putative lysis protein S","50","22","26","131","65.78947368421053","85.62091503267973","11.451048951048952","7.650500644447008e-15","8.50200136617396e-11","1.631862066444138e-13","3","1","3","0.25","1.0"
"group_1541","","IS2 insertion element transposase InsAB;IS2 ORF2","71","66","5","87","93.42105263157895","56.86274509803921","18.71818181818182","9.382875901625154e-15","1.0427189989476033e-10","1.9975459749954086e-13","3","2","2","1.0","1.0"
"group_9639","cobW;","CobW C-terminal domain-containing protein;hypothetical protein","68","58","8","95","89.47368421052632","62.091503267973856","13.922413793103448","1.3236958056873251e-14","1.4710231488603244e-10","2.8126637645512894e-13","3","2","2","1.0","1.0"
"group_7581","","Secreted protein","71","67","5","86","93.42105263157895","56.209150326797385","18.22686567164179","1.358722069031117e-14","1.5099478353142804e-10","2.8760911148843436e-13","3","2","2","1.0","1.0"
"group_8934","","hypothetical protein","5","86","71","67","6.578947368421052","43.790849673202615","0.05486406812970848","1.3587220690311172e-14","1.5099478353142804e-10","2.8760911148843436e-13","3","3","1","0.25","1.0"
"group_10008","","hypothetical protein","72","70","4","83","94.73684210526315","54.248366013071895","21.34285714285714","1.4576788937177055e-14","1.619918554588486e-10","3.073849249693522e-13","3","2","2","1.0","1.0"
"group_451","","DUF305 domain-containing protein","72","70","4","83","94.73684210526315","54.248366013071895","21.34285714285714","1.4576788937177055e-14","1.619918554588486e-10","3.073849249693522e-13","3","2","2","1.0","1.0"
"group_5983","","Transposase IS5","45","16","31","137","59.210526315789465","89.54248366013073","12.429435483870968","1.5106324721122774e-14","1.6787658662583738e-10","3.179480807307526e-13","3","1","3","0.25","1.0"
"group_6635","iroN","salmochelin receptor IroN","70","64","6","89","92.10526315789474","58.16993464052288","16.223958333333332","1.7051958640638057e-14","1.8949841637341074e-10","3.5754418183662403e-13","3","2","2","1.0","1.0"
"group_1570","","Transposon Tn501 resolvase","70","64","6","89","92.10526315789474","58.16993464052288","16.223958333333332","1.7051958640638057e-14","1.8949841637341074e-10","3.5754418183662403e-13","3","2","2","1.0","1.0"
"group_10493","","Capsular polysaccharide biosynthsis protein","0","65","76","88","0.0","57.51633986928104","0.0","1.8923712416843197e-14","2.1029921608837846e-10","3.945576286836369e-13","1","0","1","1.0","1.0"
"group_888","","Fimbrial protein","0","65","76","88","0.0","57.51633986928104","0.0","1.8923712416843197e-14","2.1029921608837846e-10","3.945576286836369e-13","1","0","1","1.0","1.0"
"group_822","","Colicin V","0","65","76","88","0.0","57.51633986928104","0.0","1.8923712416843197e-14","2.1029921608837846e-10","3.945576286836369e-13","1","0","1","1.0","1.0"
"group_6610","parB","Chromosome (Plasmid) partitioning protein ParB","72","71","4","82","94.73684210526315","53.59477124183007","20.788732394366196","2.053137165766378e-14","2.2816513323161758e-10","4.272755303962876e-13","2","2","1","0.5","1.0"
"group_9125","","Glycosyltransferase","0","64","76","89","0.0","58.16993464052288","0.0","2.2343491517312618e-14","2.483032212318951e-10","4.641181705269067e-13","1","0","1","1.0","1.0"
"group_10149","","Gp7","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_9359","","Head-tail adaptor protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_9300","","HK97-gp10 family putative phage morphogenesis protein;HK97 gp10 family phage protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_9091","","Phage tail protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_8988","","Major capsid protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_8568","","Tape measure protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_7275","","hypothetical protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_6268","","Phage tail protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_278","","Phage gp6-like head-tail connector protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_251","","DUF3168 domain-containing protein","50","23","26","130","65.78947368421053","84.9673202614379","10.869565217391305","2.435444484830244e-14","2.70650945599185e-10","4.966072396315321e-13","3","1","3","0.25","1.0"
"group_10525","","SUMF1/EgtB/PvdO family nonheme iron enzyme;Serine/threonine-protein kinase pkn1;hypothetical protein;Sulfatase modifying factor 1-like protein","74","79","2","74","97.36842105263158","48.36601307189542","34.65822784810127","2.528044104957799e-14","2.8094154138396017e-10","5.145449475896707e-13","3","2","2","1.0","1.0"
"group_10560","","hypothetical protein","73","75","3","78","96.05263157894737","50.98039215686274","25.30666666666667","2.5633048431693153e-14","2.84860067221406e-10","5.198176409149745e-13","2","2","1","0.5","1.0"
